,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
498,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,NA,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,NA,own,2,unskilled - residentskilled employee / official,NA,none,yes,good
499,0 <= ... < 200 DM,NA,NA,radio/television,1301,NA,... >= 7 years,4,male : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,none,yes,good
500,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1323,100 <= ... < 500 DM,... >= 7 years,2,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",28,none,own,2,NA,2,NA,yes,good
501,... < 0 DM,24,NA,car (new),3123,NA,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,NA,1,none,yes,bad
502,... < 0 DM,36,existing credits paid back duly till now,car (used),NA,... < 100 DM,NA,2,male : single,none,4,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,NA,none,NA,good
503,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,1126,NA,NA,2,female : divorced/separated/married,none,NA,real estate,49,none,own,1,NA,1,none,NA,good
504,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),NA,1216,100 <= ... < 500 DM,... < 1 year,4,NA,none,4,unknown / no property,38,bank,own,NA,NA,2,NA,NA,bad
505,... < 0 DM,NA,existing credits paid back duly till now,car (new),1207,NA,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,NA,rent,1,unskilled - residentskilled employee / official,1,NA,yes,bad
506,no checking account,10,NA,NA,NA,unknown/ no savings account,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,bad
507,... >= 200 DM / salary assignments for at least 1 year,15,NA,car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,NA,male : single,none,NA,NA,36,NA,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
508,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,NA,unemployed,1,male : single,NA,2,building society savings agreement/ life insurance,34,none,own,1,OTHER,2,"yes, registered under the customers name",yes,bad
509,no checking account,24,existing credits paid back duly till now,radio/television,1413,... < 100 DM,1 <= ... < 4 years,NA,male : married/widowed,none,2,building society savings agreement/ life insurance,NA,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
510,no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... < 500 DM,... >= 7 years,4,male : single,NA,2,NA,45,NA,own,1,OTHER,1,"yes, registered under the customers name",yes,good
511,... < 0 DM,12,existing credits paid back duly till now,car (new),759,... < 100 DM,4 <= ... < 7 years,4,NA,NA,2,real estate,26,none,NA,1,unskilled - residentskilled employee / official,NA,NA,NA,bad
512,no checking account,NA,existing credits paid back duly till now,car (used),4686,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,32,none,for free,NA,OTHER,NA,NA,yes,good
513,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,business,2687,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,26,none,NA,1,NA,1,"yes, registered under the customers name",yes,good
514,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,585,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,co-applicant,NA,real estate,20,NA,rent,2,unskilled - residentskilled employee / official,1,none,yes,good
515,NA,NA,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,NA,NA,none,1,building society savings agreement/ life insurance,54,none,own,1,NA,1,none,yes,good
516,... < 0 DM,6,critical account/ other credits existing (not at this bank),NA,609,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,NA,37,none,NA,2,unskilled - residentskilled employee / official,1,none,NA,good
517,... < 0 DM,NA,critical account/ other credits existing (not at this bank),car (new),NA,... < 100 DM,NA,2,male : single,none,4,real estate,40,none,own,NA,unskilled - resident,NA,none,no,good
518,no checking account,36,NA,furniture/equipment,7127,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,NA,none,rent,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
519,... < 0 DM,6,existing credits paid back duly till now,car (new),NA,100 <= ... < 500 DM,NA,3,male : single,NA,2,building society savings agreement/ life insurance,43,none,NA,1,NA,1,NA,yes,good
520,NA,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,NA,NA,NA,none,4,NA,36,none,for free,2,unskilled - residentskilled employee / official,1,none,yes,good
521,no checking account,NA,critical account/ other credits existing (not at this bank),OTHER,NA,... < 100 DM,... >= 7 years,3,NA,none,4,NA,44,NA,for free,2,NA,1,none,NA,good
522,... < 0 DM,18,existing credits paid back duly till now,radio/television,3190,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,2,NA,NA,none,own,1,unskilled - residentskilled employee / official,1,none,NA,bad
523,NA,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,... < 100 DM,1 <= ... < 4 years,3,NA,NA,NA,unknown / no property,NA,none,for free,NA,unskilled - residentskilled employee / official,2,NA,yes,bad
524,NA,NA,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",23,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
525,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,guarantor,4,real estate,26,none,own,NA,unskilled - resident,2,none,NA,good
526,0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,NA,... < 1 year,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",30,none,own,2,unskilled - residentskilled employee / official,1,none,NA,good
527,no checking account,NA,critical account/ other credits existing (not at this bank),NA,1532,NA,NA,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",31,none,own,1,NA,NA,none,yes,good
528,no checking account,4,critical account/ other credits existing (not at this bank),NA,1503,... < 100 DM,4 <= ... < 7 years,NA,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,good
529,... < 0 DM,NA,existing credits paid back duly till now,radio/television,2302,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,NA,4,"car or other, not in attribute Savings account/bonds",NA,none,rent,1,unskilled - residentskilled employee / official,NA,none,yes,bad
530,... < 0 DM,6,existing credits paid back duly till now,NA,662,... < 100 DM,... < 1 year,3,NA,none,4,real estate,NA,none,own,NA,unskilled - resident,2,NA,yes,good
531,0 <= ... < 200 DM,36,NA,NA,NA,... < 100 DM,4 <= ... < 7 years,3,NA,none,1,"car or other, not in attribute Savings account/bonds",NA,none,own,NA,unskilled - residentskilled employee / official,2,none,yes,good
532,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,4,NA,28,none,rent,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
533,NA,12,delay in paying off in the past,car (used),NA,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,NA,4,real estate,41,NA,rent,NA,unskilled - residentskilled employee / official,1,none,yes,good
534,NA,24,existing credits paid back duly till now,radio/television,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/ life insurance,26,none,own,1,NA,1,"yes, registered under the customers name",yes,good
535,no checking account,24,NA,radio/television,3105,unknown/ no savings account,... < 1 year,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",25,none,NA,2,unskilled - residentskilled employee / official,NA,NA,yes,good
536,... >= 200 DM / salary assignments for at least 1 year,NA,critical account/ other credits existing (not at this bank),NA,2319,... < 100 DM,NA,2,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",33,none,NA,1,unskilled - residentskilled employee / official,1,NA,yes,bad
537,... < 0 DM,NA,existing credits paid back duly till now,car (new),1374,NA,unemployed,4,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,75,none,NA,1,OTHER,1,NA,yes,good
538,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,37,none,NA,1,unskilled - residentskilled employee / official,1,NA,NA,good
539,... < 0 DM,NA,existing credits paid back duly till now,car (new),NA,... < 100 DM,NA,4,NA,none,NA,NA,42,bank,for free,1,OTHER,1,none,yes,bad
540,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,NA,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,NA,stores,own,NA,unskilled - resident,1,none,yes,good
541,0 <= ... < 200 DM,NA,existing credits paid back duly till now,radio/television,1534,NA,NA,1,male : married/widowed,NA,1,NA,23,none,rent,1,unskilled - residentskilled employee / official,NA,none,yes,bad
542,no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,NA,male : single,none,4,NA,60,NA,for free,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
543,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,... >= 7 years,4,male : single,NA,4,building society savings agreement/ life insurance,31,none,own,NA,unskilled - residentskilled employee / official,1,NA,yes,bad
544,NA,18,existing credits paid back duly till now,NA,NA,... < 100 DM,1 <= ... < 4 years,NA,male : single,none,1,NA,34,none,own,1,NA,NA,none,NA,bad
545,no checking account,12,critical account/ other credits existing (not at this bank),car (new),NA,... < 100 DM,NA,4,male : single,none,4,real estate,NA,none,NA,2,unskilled - resident,1,none,yes,good
546,... < 0 DM,24,delay in paying off in the past,NA,1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,unskilled - residentskilled employee / official,2,NA,yes,bad
547,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,NA,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",NA,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
548,no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",32,bank,own,NA,unskilled - residentskilled employee / official,2,none,yes,good
549,NA,NA,NA,radio/television,626,NA,NA,NA,female : divorced/separated/married,none,4,real estate,NA,bank,NA,1,unskilled - resident,NA,NA,yes,bad
550,no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,NA,male : single,NA,1,NA,35,none,for free,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
551,no checking account,12,critical account/ other credits existing (not at this bank),OTHER,996,unknown/ no savings account,4 <= ... < 7 years,4,NA,NA,4,real estate,NA,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
552,no checking account,6,NA,NA,NA,NA,... >= 7 years,2,male : single,none,4,NA,45,bank,own,1,NA,2,none,yes,good
553,... < 0 DM,48,existing credits paid back duly till now,NA,6999,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,NA,34,none,NA,2,unskilled - residentskilled employee / official,1,NA,NA,bad
554,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),NA,100 <= ... < 500 DM,... < 1 year,4,male : single,NA,1,"car or other, not in attribute Savings account/bonds",27,none,own,1,unskilled - residentskilled employee / official,1,none,NA,good
555,0 <= ... < 200 DM,NA,existing credits paid back duly till now,education,1199,... < 100 DM,4 <= ... < 7 years,4,NA,NA,4,building society savings agreement/ life insurance,67,none,own,2,OTHER,NA,"yes, registered under the customers name",yes,good
556,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",22,stores,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
557,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,NA,... < 1 year,3,female : divorced/separated/married,NA,3,NA,28,none,own,2,unskilled - residentskilled employee / official,NA,NA,yes,bad
558,no checking account,21,no credits taken/ all credits paid back duly,car (new),NA,unknown/ no savings account,NA,1,female : divorced/separated/married,none,4,NA,NA,NA,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,bad
559,... < 0 DM,NA,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,3,NA,none,4,NA,NA,NA,own,NA,NA,1,NA,yes,bad
560,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,31,none,own,2,NA,1,none,yes,bad
561,... < 0 DM,24,NA,car (used),2964,NA,... >= 7 years,NA,male : single,none,NA,NA,49,bank,for free,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
562,... < 0 DM,NA,NA,radio/television,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",24,bank,NA,1,unskilled - resident,1,none,yes,bad
563,... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,NA,683,... < 100 DM,... < 1 year,2,female : divorced/separated/married,NA,1,building society savings agreement/ life insurance,29,bank,NA,NA,unskilled - residentskilled employee / official,NA,NA,NA,good
564,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,unskilled - residentskilled employee / official,1,NA,yes,bad
565,0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,bank,own,NA,OTHER,1,"yes, registered under the customers name",yes,good
566,NA,24,NA,radio/television,1553,100 <= ... < 500 DM,NA,3,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,23,NA,NA,NA,unskilled - residentskilled employee / official,1,NA,yes,good
567,... < 0 DM,12,existing credits paid back duly till now,car (new),1372,NA,4 <= ... < 7 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",36,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,bad
568,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,NA,... >= 1000 DM,... >= 7 years,2,NA,NA,NA,NA,34,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
569,0 <= ... < 200 DM,NA,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,NA,NA,male : single,none,1,"car or other, not in attribute Savings account/bonds",NA,none,own,2,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
570,... < 0 DM,NA,existing credits paid back duly till now,radio/television,NA,NA,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,NA,31,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,bad
571,... < 0 DM,24,NA,furniture/equipment,NA,... < 100 DM,... < 1 year,4,NA,none,4,real estate,23,none,NA,1,unskilled - resident,1,NA,yes,bad
572,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,NA,4 <= ... < 7 years,3,NA,co-applicant,2,"car or other, not in attribute Savings account/bonds",38,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
573,no checking account,24,existing credits paid back duly till now,NA,5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,OTHER,1,"yes, registered under the customers name",yes,good
574,NA,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,NA,none,NA,1,unskilled - resident,1,none,yes,good
575,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,NA,4,NA,none,4,"car or other, not in attribute Savings account/bonds",27,NA,own,2,unskilled - resident,1,none,NA,good
576,NA,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,"car or other, not in attribute Savings account/bonds",24,bank,own,2,unskilled - residentskilled employee / official,1,none,NA,good
577,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2930,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,NA,unskilled - residentskilled employee / official,1,none,NA,good
578,NA,24,critical account/ other credits existing (not at this bank),NA,NA,unknown/ no savings account,1 <= ... < 4 years,3,NA,NA,NA,"car or other, not in attribute Savings account/bonds",33,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
579,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",27,none,own,NA,unskilled - residentskilled employee / official,NA,none,yes,bad
580,NA,24,existing credits paid back duly till now,NA,NA,NA,... < 1 year,4,male : married/widowed,none,3,"car or other, not in attribute Savings account/bonds",27,none,own,2,unskilled - resident,1,none,yes,good
581,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,... >= 7 years,NA,NA,guarantor,3,NA,NA,bank,own,2,unskilled - residentskilled employee / official,NA,none,yes,bad
582,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year,1,NA,none,3,real estate,49,bank,own,NA,unskilled - resident,2,none,yes,good
583,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,NA,rent,1,unskilled - residentskilled employee / official,1,none,yes,good
584,0 <= ... < 200 DM,36,existing credits paid back duly till now,OTHER,2384,... < 100 DM,... < 1 year,4,male : single,NA,1,unknown / no property,33,none,NA,1,NA,NA,none,yes,bad
585,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,... >= 7 years,4,NA,none,4,NA,52,none,for free,1,OTHER,NA,"yes, registered under the customers name",yes,good
586,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,NA,bank,rent,1,unskilled - residentskilled employee / official,1,none,yes,bad
587,... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,NA,rent,2,unskilled - residentskilled employee / official,2,none,yes,good
588,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM,1 <= ... < 4 years,4,NA,NA,1,building society savings agreement/ life insurance,21,none,own,NA,unskilled - resident,1,NA,yes,good
589,... < 0 DM,18,NA,NA,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,NA,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
590,... < 0 DM,12,critical account/ other credits existing (not at this bank),NA,2246,NA,NA,3,male : single,NA,3,building society savings agreement/ life insurance,60,none,own,NA,unskilled - residentskilled employee / official,1,NA,yes,bad
591,... < 0 DM,12,critical account/ other credits existing (not at this bank),NA,385,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,NA,58,NA,NA,4,unskilled - resident,1,"yes, registered under the customers name",yes,good
592,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),NA,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",42,none,NA,NA,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",NA,good
593,no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,NA,female : divorced/separated/married,NA,NA,real estate,36,bank,own,1,unskilled - resident,1,NA,yes,good
594,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,NA,none,4,NA,20,none,NA,NA,unskilled - resident,1,"yes, registered under the customers name",yes,bad
595,... < 0 DM,24,all credits at this bank paid back duly,OTHER,1358,unknown/ no savings account,... >= 7 years,NA,NA,none,NA,"car or other, not in attribute Savings account/bonds",40,NA,own,1,OTHER,NA,"yes, registered under the customers name",yes,bad
596,0 <= ... < 200 DM,6,NA,NA,931,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,1,NA,32,stores,own,1,NA,1,none,yes,bad
597,... < 0 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",23,none,rent,2,unskilled - residentskilled employee / official,1,none,yes,bad
598,0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,NA,1,NA,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",NA,bad
599,NA,18,critical account/ other credits existing (not at this bank),NA,2775,NA,NA,2,male : single,none,2,building society savings agreement/ life insurance,31,bank,NA,2,unskilled - residentskilled employee / official,1,none,NA,bad
600,no checking account,24,NA,business,NA,... < 100 DM,1 <= ... < 4 years,1,male : single,none,NA,unknown / no property,32,none,for free,1,unskilled - residentskilled employee / official,1,none,NA,good
601,NA,7,existing credits paid back duly till now,radio/television,NA,... < 100 DM,... < 1 year,NA,NA,guarantor,1,real estate,45,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
602,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,bad
603,0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,NA,4 <= ... < 7 years,4,NA,none,NA,unknown / no property,34,NA,for free,1,unskilled - resident,1,none,NA,bad
604,NA,36,NA,furniture/equipment,3349,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,1,OTHER,NA,"yes, registered under the customers name",yes,bad
605,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,... < 100 DM,... < 1 year,4,NA,none,2,building society savings agreement/ life insurance,23,none,own,1,unskilled - residentskilled employee / official,1,NA,NA,good
606,... < 0 DM,24,all credits at this bank paid back duly,NA,2828,NA,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
607,NA,24,critical account/ other credits existing (not at this bank),business,NA,... < 100 DM,1 <= ... < 4 years,NA,NA,none,NA,real estate,74,NA,own,NA,OTHER,NA,"yes, registered under the customers name",NA,good
608,NA,36,existing credits paid back duly till now,NA,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,NA,for free,1,unskilled - residentskilled employee / official,1,none,yes,bad
609,no checking account,NA,NA,radio/television,2051,... < 100 DM,NA,4,male : single,none,1,NA,33,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
610,no checking account,15,NA,NA,1300,unknown/ no savings account,... >= 7 years,4,male : single,NA,4,NA,45,NA,NA,1,unskilled - residentskilled employee / official,2,none,yes,good
611,... < 0 DM,NA,existing credits paid back duly till now,OTHER,741,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,NA,NA,22,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
612,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,NA,... >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,NA,none,for free,NA,unskilled - resident,2,none,yes,bad
613,... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,NA,29,bank,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
614,... < 0 DM,24,NA,car (used),NA,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,guarantor,4,"car or other, not in attribute Savings account/bonds",22,bank,NA,1,unskilled - residentskilled employee / official,1,none,no,good
615,no checking account,18,NA,furniture/equipment,1808,... < 100 DM,NA,NA,NA,none,NA,real estate,22,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
616,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,NA,none,2,NA,48,bank,own,1,NA,1,"yes, registered under the customers name",yes,good
617,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1 <= ... < 4 years,2,NA,none,2,unknown / no property,27,none,for free,1,OTHER,1,none,yes,good
618,NA,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM,1 <= ... < 4 years,1,male : single,NA,3,real estate,37,none,rent,3,unskilled - residentskilled employee / official,NA,NA,yes,good
619,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,co-applicant,4,"car or other, not in attribute Savings account/bonds",21,none,rent,1,NA,1,NA,yes,bad
620,no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,49,none,own,1,NA,1,none,yes,good
621,0 <= ... < 200 DM,NA,NA,business,3652,... < 100 DM,4 <= ... < 7 years,NA,NA,none,3,building society savings agreement/ life insurance,27,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
622,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,... < 100 DM,1 <= ... < 4 years,3,male : single,NA,2,building society savings agreement/ life insurance,32,bank,own,2,unskilled - residentskilled employee / official,1,none,yes,bad
623,no checking account,48,existing credits paid back duly till now,NA,NA,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,real estate,38,bank,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
624,... < 0 DM,12,existing credits paid back duly till now,NA,1858,... < 100 DM,... < 1 year,4,NA,none,NA,"car or other, not in attribute Savings account/bonds",22,NA,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
625,... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,NA,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,65,none,for free,NA,NA,1,none,NA,bad
626,NA,15,existing credits paid back duly till now,radio/television,1979,NA,NA,4,NA,none,2,"car or other, not in attribute Savings account/bonds",35,NA,own,1,unskilled - residentskilled employee / official,1,NA,NA,good
627,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,... < 100 DM,1 <= ... < 4 years,2,NA,none,NA,NA,41,none,own,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",NA,good
628,0 <= ... < 200 DM,NA,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,NA,male : single,none,3,unknown / no property,29,none,own,1,unskilled - residentskilled employee / official,NA,none,NA,bad
629,no checking account,42,critical account/ other credits existing (not at this bank),NA,NA,500 <= ... < 1000 DM,NA,4,male : single,none,4,real estate,36,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
